Mouse_ID,Transect,State,Address,Latitude,Longitude,Trap_date,Dissection_date,Sex,Status,Species,Year,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen,Left_Testis,Right_Testis,Epididymis,Seminal_vesicles,Embryo_left,Embryo_right,Feces,ASP,SYP,HET,MART,CP,HD,HM,MM,TM
AA_0681,HZ_BR,Germany,Schonebeckerstr. 21,51.9761,13.7315,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,17.49,89.4,75.1,0.0277,0.0602,0.0567,0.0217,0.17,NA,NA,0.45,0,0,0,0,0,0,0,0,11
AA_0682,HZ_BR,Germany,Schonebeckerstr. 21,51.9761,13.7315,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,17.54,88,77.3,0.0529,0.0517,0.0544,0.017,0.1073,NA,NA,0.55,0,0,0,0,0,0,0,0,3
AA_0683,HZ_BR,Germany,Schonebeckerstr. 21,51.9761,13.7315,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,18.14,87.6,71.1,0.0432,NA,NA,NA,NA,NA,NA,0.61,0,3,0,0,0,0,0,0,2
AA_0684,HZ_BR,Germany,Schonebeckerstr. 21,51.9761,13.7315,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,15.52,88.2,77,0.043,NA,NA,NA,NA,NA,NA,0.34,0,0,0,0,0,0,0,0,7
AA_0685,HZ_BR,Germany,Schonebeckerstr. 21,51.9761,13.7315,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,12.2,77.6,70.9,0.0558,0.0377,0.0377,0.0098,0.0532,NA,NA,0.14,0,0,0,0,0,0,0,0,0
AA_0686,HZ_BR,Germany,Schonebeckerstr. 21,51.9761,13.7315,11/09/19,12/09/19,male,young,Mus musculus,2019,FALSE,9.71,72,66.8,0.0138,0.0216,0.0215,0.0035,0.0043,NA,NA,0.16,0,0,0,0,0,0,0,0,0
AA_0687,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,14.42,82.1,77.3,0.0367,NA,NA,NA,NA,NA,NA,0.38,0,0,0,0,0,0,0,0,7
AA_0688,HZ_BR,Germany,Zehdenickerstr. 8B,52.9789,13.7325,11/09/19,12/09/19,male,young,Mus musculus,2019,FALSE,11.6,73.6,61.1,0.0309,0.0481,0.0513,0.0142,0.0708,NA,NA,0.22,0,0,0,0,0,0,0,0,0
AA_0689,HZ_BR,Germany,Zehdenickerstr. 8B,52.9789,13.7325,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,17.65,85.4,79.4,0.0471,0.0677,0.074,0.0175,0.1179,NA,NA,0.54,0,19,0,0,0,0,0,0,2
AA_0690,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,15.51,84.7,78.7,0.0439,NA,NA,NA,NA,NA,NA,0.59,0,0,0,0,0,0,0,0,0
AA_0691,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,15.47,82.8,74.4,0.0516,NA,NA,NA,NA,NA,NA,0.18,0,0,0,0,0,0,0,0,1
AA_0692,HZ_BR,Germany,Schonebeckerstr. 21,51.9761,13.7315,11/09/19,12/09/19,male,young,Mus musculus,2019,FALSE,9.47,69.4,65.7,0.0147,0.0341,0.0356,0.0047,0.0058,NA,NA,0.48,0,0,0,0,0,0,0,0,0
AA_0693,HZ_BR,Germany,Zehdenickerstr. 8B,52.9789,13.7325,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,14.06,76.6,68.5,0.0503,NA,NA,NA,NA,NA,NA,0.32,0,4,0,0,0,0,0,0,0
AA_0694,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,9.92,68.4,61.7,0.0271,NA,NA,NA,NA,NA,NA,0.24,0,2,0,0,0,0,0,0,0
AA_0695,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,pregnant,Mus musculus,2019,FALSE,17.2,92.3,82.9,0.0339,NA,NA,NA,NA,4,4,0.1,0,0,0,0,0,0,0,0,0
AA_0696,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,male,young,Mus musculus,2019,FALSE,8.56,66.2,64,0.0201,NA,NA,NA,NA,NA,NA,0.36,0,0,0,0,0,0,0,0,0
AA_0697,HZ_BR,Germany,Angermunde,52.9756,13.9851,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,16.11,81.8,78.8,0.0147,0.0788,0.0802,0.1297,0.0202,NA,NA,0.54,0,0,0,0,0,0,0,0,0
AA_0698,HZ_BR,Germany,Angermunde,52.9756,13.9851,11/09/19,12/09/19,male,young,Mus musculus,2019,FALSE,7.57,62.3,69.9,0.008,NA,NA,NA,NA,NA,NA,0.03,0,0,0,0,0,0,0,0,0
