Pos,Name,No. Tm SYBR,Tm x (°C) SYBR,Tm y (°C) SYBR,Mean SYBR,Dev. SYBR
A1,CEWE_AA_0377,1,80.2,,,
A2,CEWE_AA_0377,1,80.2,,,
A3,CEWE_AA_0377,1,80.1,,,
A4,CEWE_AA_0377,0,,,,
A5,CEWE_AA_0377,0,,,,
A6,CEWE_AA_0377,0,,,,
A7,ILWE_AA_0377,1,79.7,,,
A8,ILWE_AA_0377,1,79.9,,,
A9,ILWE_AA_0377,1,80.2,,,
A10,ILWE_AA_0377,0,,,,
A11,ILWE_AA_0377,0,,,,
A12,ILWE_AA_0377,1,78.8,,,
B1,CEWE_AA_0378,1,80.2,,,
B2,CEWE_AA_0378,1,80.1,,,
B3,CEWE_AA_0378,1,79.9,,,
B4,CEWE_AA_0378,0,,,,
B5,CEWE_AA_0378,0,,,,
B6,CEWE_AA_0378,0,,,,
B7,ILWE_AA_0378,1,80,,,
B8,ILWE_AA_0378,1,79.9,,,
B9,ILWE_AA_0378,1,80,,,
B10,ILWE_AA_0378,0,,,,
B11,ILWE_AA_0378,0,,,,
B12,ILWE_AA_0378,0,,,,
C1,CEWE_AA_0379,1,80.1,,,
C2,CEWE_AA_0379,1,79.9,,,
C3,CEWE_AA_0379,1,79.9,,,
C4,CEWE_AA_0379,1,74.6,,,
C5,CEWE_AA_0379,1,74.7,,,
C6,CEWE_AA_0379,1,74.7,,,
C7,ILWE_AA_0379,1,80,,,
C8,ILWE_AA_0379,1,79.9,,,
C9,ILWE_AA_0379,1,79.9,,,
C10,ILWE_AA_0379,0,,,,
C11,ILWE_AA_0379,0,,,,
C12,ILWE_AA_0379,0,,,,
D1,CEWE_AA_0380,1,79.9,,,
D2,CEWE_AA_0380,1,79.9,,,
D3,CEWE_AA_0380,1,80,,,
D4,CEWE_AA_0380,0,,,,
D5,CEWE_AA_0380,1,75.9,,,
D6,CEWE_AA_0380,0,,,,
D7,ILWE_AA_0380,1,79.8,,,
D8,ILWE_AA_0380,0,,,,
D9,ILWE_AA_0380,1,80,,,
D10,ILWE_AA_0380,0,,,,
D11,ILWE_AA_0380,0,,,,
D12,ILWE_AA_0380,0,,,,
E1,CEWE_AA_0388,1,79.5,,,
E2,CEWE_AA_0388,1,79.5,,,
E3,CEWE_AA_0388,1,79.6,,,
E4,CEWE_AA_0388,1,74.1,,,
E5,CEWE_AA_0388,1,74.2,,,
E6,CEWE_AA_0388,1,74.2,,,
E7,ILWE_AA_0388,1,79.2,,,
E8,ILWE_AA_0388,0,,,,
E9,ILWE_AA_0388,1,80,,,
E10,ILWE_AA_0388,0,,,,
E11,ILWE_AA_0388,0,,,,
E12,ILWE_AA_0388,0,,,,
F1,CEWE_AA_0389,1,79.7,,,
F2,CEWE_AA_0389,1,79.7,,,
F3,CEWE_AA_0389,1,79.7,,,
F4,CEWE_AA_0389,1,74,,,
F5,CEWE_AA_0389,1,74.1,,,
F6,CEWE_AA_0389,1,74.2,,,
F7,ILWE_AA_0389,1,79.8,,,
F8,ILWE_AA_0389,1,79.9,,,
F9,ILWE_AA_0389,1,79.9,,,
F10,ILWE_AA_0389,0,,,,
F11,ILWE_AA_0389,0,,,,
F12,ILWE_AA_0389,1,78.8,,,
G1,CEWE_AA_0390,1,79.8,,,
G2,CEWE_AA_0390,1,79.8,,,
G3,CEWE_AA_0390,1,79.8,,,
G4,CEWE_AA_0390,0,,,,
G5,CEWE_AA_0390,0,,,,
G6,CEWE_AA_0390,0,,,,
G7,ILWE_AA_0390,1,79.9,,,
G8,ILWE_AA_0390,1,79.9,,,
G9,ILWE_AA_0390,1,80,,,
G10,ILWE_AA_0390,0,,,,
G11,ILWE_AA_0390,0,,,,
G12,ILWE_AA_0390,0,,,,
H1,NTC,0,,,,
H2,NTC,0,,,,
H3,NTC,0,,,,
H4,NTC,0,,,,
H5,NTC,0,,,,
H6,NTC,0,,,,
H7,water,0,,,,
H8,water,0,,,,
H9,water,0,,,,
H10,water,0,,,,
H11,water,0,,,,
H12,water,0,,,,
,,,,,,
Analysis Parameters,,,,,,
Type of Application,Melting Curve,,,,,
Dye(s),SYBR,,,,,
Inverted Data,OFF,,,,,
